Dom_m00_R,Dom_m00_G,Dom_m00_B,Dom_m01_R,Dom_m01_G,Dom_m01_B,Dom_m02_R,Dom_m02_G,Dom_m02_B,Dom_m03_R,Dom_m03_G,Dom_m03_B,Dom_m10_R,Dom_m10_G,Dom_m10_B,Dom_m11_R,Dom_m11_G,Dom_m11_B,Dom_m12_R,Dom_m12_G,Dom_m12_B,Dom_m20_R,Dom_m20_G,Dom_m20_B,Dom_m21_R,Dom_m21_G,Dom_m21_B,Dom_m30_R,Dom_m30_G,Dom_m30_B,Dom_mu02_R,Dom_mu02_G,Dom_mu02_B,Dom_mu03_R,Dom_mu03_G,Dom_mu03_B,Dom_mu11_R,Dom_mu11_G,Dom_mu11_B,Dom_mu12_R,Dom_mu12_G,Dom_mu12_B,Dom_mu20_R,Dom_mu20_G,Dom_mu20_B,Dom_mu21_R,Dom_mu21_G,Dom_mu21_B,Dom_mu30_R,Dom_mu30_G,Dom_mu30_B,Dom_nu02_R,Dom_nu02_G,Dom_nu02_B,Dom_nu03_R,Dom_nu03_G,Dom_nu03_B,Dom_nu11_R,Dom_nu11_G,Dom_nu11_B,Dom_nu12_R,Dom_nu12_G,Dom_nu12_B,Dom_nu20_R,Dom_nu20_G,Dom_nu20_B,Dom_nu21_R,Dom_nu21_G,Dom_nu21_B,Dom_nu30_R,Dom_nu30_G,Dom_nu30_B,Dom_Hu_R1,Dom_Hu_G1,Dom_Hu_B1,Dom_Hu_R2,Dom_Hu_G2,Dom_Hu_B2,Dom_Hu_R3,Dom_Hu_G3,Dom_Hu_B3,Dom_Hu_R4,Dom_Hu_G4,Dom_Hu_B4,Dom_Hu_R5,Dom_Hu_G5,Dom_Hu_B5,Dom_Hu_R6,Dom_Hu_G6,Dom_Hu_B6,Dom_Hu_R7,Dom_Hu_G7,Dom_Hu_B7,Waldo
681615.0,97410.0,265455.0,21108645.0,2636190.0,9156285.0,863565405.0,103192380.0,426056295.0,39347436105.0,4694544900.0,22286676915.0,18601740.0,2969985.0,11329395.0,575315445.0,70017900.0,391051935.0,23301170955.0,2522957760.0,18049514805.0,758155800.0,117939795.0,516718485.0,23657621175.0,2527187190.0,17688835155.0,36648688230.0,5208069765.0,24471899925.0,209860756.86868683,31849625.4973822,110230429.97118154,-394130616.34719545,177985525.06839147,-13507025.937012756,-753928.5353535848,-10358290.91623036,269431.38328527415,-219423980.83387217,-62680006.691154346,-152794585.88784885,250501580.20202017,27386351.819371734,33189483.602305442,219767149.33368635,-32958286.720759053,-157228029.1988125,2285378150.1070175,-57852935.64252602,-414206418.8988052,0.0004517029807499151,0.003356581861484621,0.0015642986898283117,-1.027524828016676e-06,6.010018733919396e-05,-3.720338520690475e-07,-1.6227510649107236e-06,-0.00109164396323145,3.8235463653908696e-06,-5.72052966244177e-07,-2.1165092740619188e-05,-4.2085325539637815e-06,0.0005391780347510021,0.0028862044791294335,0.00047099757960427133,5.729476294322854e-07,-1.1128990436359134e-05,-4.33064611179651e-06,5.95813340360533e-06,-1.9535140674513327e-05,-1.1408789047511733e-05,3.0039784922491064,2.2046215285446347,2.691372363434126,8.11563413987725,5.302073463626851,5.922499175284536,10.177588038749839,7.971740244665887,9.793868977842196,10.534371768518024,8.392042651843004,9.575092350812271,20.972614907671506,-17.72966472672534,19.411862897252625,14.595943937192175,11.043252689180955,-12.617343489392676,21.140960591605346,-16.5749966643312,19.40832751842582,1
798150.0,93330.0,153000.0,23415375.0,3219885.0,6265860.0,980314095.0,134458695.0,278041290.0,47192221425.0,6138305685.0,12998130810.0,22769205.0,3169140.0,6962775.0,619806825.0,114727305.0,301851150.0,25280395275.0,4816917615.0,13776330630.0,891642435.0,144444240.0,356727405.0,23021310495.0,5236611405.0,15615721620.0,40184553165.0,7227763350.0,18916341405.0,293375817.2444089,23372662.5,21433436.8,1219118993.5908322,-113233005.0,-144128183.29866758,-48174724.24121407,5391975.000000006,16702304.500000004,141118038.6594157,-120846314.26229483,-244895162.99666658,242094484.95047924,36832021.63934427,39863119.375,-388251162.96502113,-112897745.49180363,-513642787.3416669,935555728.8940926,-178383493.13535833,-945936499.3229165,0.00046052718995683365,0.0026832779156632644,0.0009156066811909949,2.142075640992609e-06,-4.255198931800113e-05,-1.5740565665093815e-05,-7.562235561927345e-05,0.000619020936930418,0.0007134992737835876,2.47954067409471e-07,-4.541300545374537e-05,-2.6745555976549384e-05,0.00038002823104335445,0.00422846777743374,0.001702897149600581,-6.821839075157181e-07,-4.242600167851801e-05,-5.609609333518929e-05,1.643835546973461e-06,-6.703498237464858e-05,-0.00010330786971585307,3.07543364660159,2.1604122494233278,2.5819467864023937,7.532317248587686,5.4066741181601765,5.575747217014747,10.736256229988749,7.921989449008932,7.623366743372243,11.243352344803732,7.701893746111308,7.6561111095614836,-22.240984345681998,15.535643393559688,15.297741868038019,-15.021387356582538,10.494300846803014,10.44469881081103,22.95861842928325,16.02371686070611,-16.326731138386595,1
797640.0,98175.0,148665.0,24664110.0,3194130.0,5042880.0,1073305710.0,129279390.0,190228980.0,52672675560.0,5914534260.0,7741448100.0,22876560.0,3196680.0,6827880.0,691439640.0,101831445.0,243114195.0,30651332010.0,3906649725.0,9315661785.0,898046250.0,143325810.0,351442020.0,26791741260.0,4430066805.0,12651835455.0,40536944550.0,7088170740.0,18703542630.0,310657996.6304348,25358163.03896103,19168954.476843905,272675437.6221753,58361949.37129323,-11791687.21806154,-15934604.347826019,-2172746.3766233744,11505009.95711837,854033975.4542432,-161440640.7476128,-201692112.60539347,241939488.26086962,39238587.97402598,37851428.43910808,-63047404.320863456,-91553971.37739974,-326266913.3423726,902904933.0823979,-133964927.12929688,-914349691.2540562,0.00048827972083370267,0.002630970447640255,0.0008673231843155608,4.798756426809063e-07,1.9325356519780866e-05,-1.3837387809931782e-06,-2.504536901333298e-05,-0.00022542766596817944,0.0005205584834396806,1.502996039600396e-06,-5.345774040858338e-05,-2.366830063173996e-05,0.000380270738458412,0.004071097942235819,0.0017126349527491309,-1.1095577193043375e-07,-3.0316210420146513e-05,-3.8286987485154755e-05,1.5890029876583198e-06,-4.435972420060305e-05,-0.00010729771777183967,3.0612049457194153,2.173791144809572,2.5883873409318485,7.8484762489065725,5.642591629076001,5.745095226632505,11.03683269940087,7.591429623747656,7.847887587328655,11.013382317354784,8.0137185675141,7.727558123510159,-22.0400529188451,-16.155985828161395,15.547228678969612,-14.94607987547363,10.898386379684423,10.620027163630162,23.110655636568083,15.867266210089944,15.947216377489577,1
656115.0,98175.0,290190.0,20044785.0,2661180.0,10195155.0,803945385.0,104729010.0,484139685.0,36089493375.0,4766606880.0,25472557665.0,16305210.0,3226005.0,13369905.0,494894820.0,78164130.0,463326330.0,19345042050.0,2819394240.0,21709207230.0,590344890.0,136368135.0,666101055.0,17958351030.0,3035608740.0,22879683750.0,25553319480.0,6395616495.0,34379721945.0,191562790.94830936,32593751.61038961,125956475.81282952,-176378173.7145421,160766017.7349302,-386950652.16210604,-3241069.028371531,-9281553.584415594,-6394383.361159949,-435888529.65161043,-118793082.32747532,-147225232.13526434,185141727.22502917,30362448.62337661,50110291.33128293,83978742.16255933,-50874345.88861465,66978607.70031162,1680603739.2982402,-80809351.63292263,-926965035.9191536,0.0004449909949945593,0.003381680176632207,0.001495738305058968,-5.058187509679566e-07,5.323435290393377e-05,-8.530008751097003e-06,-7.5288448484250164e-06,-0.0009629835233438668,-7.593356410456554e-05,-1.2500446454699764e-06,-3.933588053162848e-05,-3.2454591082327058e-06,0.00043007517798750324,0.0031501771214013123,0.0005950617603277677,2.408349149667127e-07,-1.6845990968418884e-05,1.4764882979977603e-06,4.819648975727122e-06,-2.6758351070547206e-05,-2.0434181527206276e-05,3.0579591041498917,2.1849633118951943,2.6796874949923577,9.347545154854021,5.424472391419117,6.0786871977990025,10.125228607506044,7.7190774118673255,9.549149191866142,10.892373188737041,8.24469235760235,9.21433031561105,21.43071240400009,-16.329048420692523,-19.346919148794083,-15.794456333218639,11.067558553858733,-12.291619245906695,21.848960135077657,-16.43887802230516,-18.603020115135696,1
827985.0,95880.0,120615.0,25874085.0,2889150.0,4137885.0,1110627255.0,116662500.0,165524325.0,53759230815.0,5366249070.0,7203178035.0,26449110.0,2788170.0,3663840.0,819945615.0,91267305.0,125172360.0,35570324085.0,3636676635.0,4666642800.0,1090075530.0,116860380.0,185878170.0,33387105375.0,3912091425.0,6574446720.0,50374338120.0,5649644850.0,10304674950.0,302076043.8219895,29603804.52127659,23567750.1691332,173300553.2024542,66758816.13795821,-92447727.71469164,-6574817.513089009,7251437.712765951,-521364.4820295957,503423522.66283035,-192858879.81722498,-325604850.5289887,245186528.63874346,35780989.62765957,74584188.77378435,-257116170.52656853,-31000450.805228475,229281530.07526997,-111429779.47504981,170362732.71899006,127193353.45990132,0.0004406272446609106,0.003220264000874036,0.0016200017490150733,2.7780737855494665e-07,2.3452468598809707e-05,-1.829754981150231e-05,-9.590445135225322e-06,0.0007888021218427358,-3.583759021124021e-05,8.070070553697293e-07,-6.775160322747776e-05,-6.444475292900182e-05,0.0003576445956294617,0.0038922102978617636,0.005126773467780905,-4.12167001190283e-07,-1.0890503174234418e-05,4.5380133412873586e-05,-1.7862617491333548e-07,5.984867423716605e-05,2.517451513580803e-05,3.0978491905613494,2.1479792899378056,2.1709037590504794,8.13942085671398,5.531601417630889,4.9100036179602995,11.043289224016027,7.140421359370958,7.1451041757487985,12.384139299041122,9.65706582034611,8.642900656659966,-24.495910476477917,18.07901927090848,16.658939979425558,-16.552379281972666,-12.42330704339654,11.524570964767545,-24.135691656628083,-18.55285187478326,-16.720202871596275,1
759390.0,92055.0,193035.0,22646550.0,2774400.0,7480170.0,920256750.0,115735320.0,356822010.0,42292775100.0,5456363010.0,18579519810.0,25093530.0,3185715.0,4621875.0,766326765.0,96344865.0,173713650.0,31208926995.0,4078461075.0,8586255450.0,1037028390.0,141916935.0,213868755.0,31540370385.0,4191309285.0,8141963850.0,47721486420.0,7006904535.0,11600266965.0,244890697.11215582,32119054.072022162,66962952.16644652,242577790.20782104,32233098.068692267,-437123940.3845212,17986805.53055747,332180.23545705946,-5385532.628797876,-273142225.5633335,53226740.69654912,460178167.32670265,207829628.0188046,31670016.731301934,103206292.15323646,-574643210.0235305,-108846139.27459858,112372698.90874963,-281596352.3226915,-96351163.07011142,1537388134.1812143,0.0004246611581051489,0.003790251094687425,0.0017970595637558648,4.827128397675987e-07,1.2536710399037003e-05,-2.67001955877552e-05,3.119064038484247e-05,3.919936428549307e-05,-0.0001445295137592508,-5.435339288446849e-07,2.0701957726037037e-05,2.8108382858256246e-05,0.00036039413323490834,0.003737261854456253,0.0027697084485275845,-1.1434998048501626e-06,-4.2334513524912695e-05,6.8638954822475e-06,-5.603570499237777e-07,-3.747472940535073e-05,9.390600716314831e-05,3.1050997548748014,2.123348488722967,2.3403910496025797,8.095734955072256,8.047972228698738,5.98733105507737,10.78360568606036,7.5318332487666675,8.632958271822947,11.781145663711392,8.932098214843466,7.815848503532189,23.074078247147423,-17.380713035434503,-16.59337440571447,16.38983287880862,12.956604480186432,10.809757078704052,23.725387186440795,-17.263954428863624,16.05795680901083,1
659430.0,102255.0,282795.0,19908360.0,2886345.0,10106415.0,792581820.0,116274645.0,483957615.0,35437702410.0,5363435655.0,25527519855.0,16492380.0,3260685.0,13148055.0,493618545.0,80022060.0,462744675.0,18976392375.0,2949573780.0,21947677365.0,584751210.0,139091025.0,668971845.0,17323682805.0,3129788910.0,23420171805.0,24550216800.0,6572127495.0,35206313625.0,191543350.58004642,34801979.02743142,122778583.71505861,-56030298.434171125,116652842.08730015,-543588686.0755972,-4290616.392111323,-12017075.947630929,-7135274.337240734,-587052243.8670373,-79756195.84172387,-43083619.129190564,172275893.3410673,35115017.2817955,57676205.81605053,-115488368.84671915,-29928326.13537801,176206635.7664009,1308298542.6861045,-102656516.57017039,-1259460041.553436,0.00044048353369535975,0.0033283948001782268,0.0015352502126176934,-1.5867232418826537e-07,3.488863205854261e-05,-1.2781772770399182e-05,-9.866935419084768e-06,-0.001149290190247944,-8.922102790139013e-05,-1.6624745282011658e-06,-2.3853551455082008e-05,-1.0130546200498977e-06,0.00039617503838999536,0.0033583331809025245,0.0007211958679012943,-3.270517633089182e-07,-8.950989448536925e-06,4.143267210475772e-06,3.7049734929400555e-06,-3.070259901895931e-05,-2.9614545844861005e-05,3.0774517349705,2.174786343723756,2.646575039814055,8.62843927805471,5.277006940077948,6.158311464388269,10.117849895420163,8.261108036514436,8.872288128701754,11.355785025347739,8.43781008639923,8.994530473784081,22.17778898216979,-16.813675740884527,-19.814072449366147,-15.868904242840815,11.182156082164893,-12.098378773279187,22.336996856465987,-17.25785963159475,-17.927976463163617,1
720120.0,109140.0,215220.0,21956010.0,3279045.0,7666065.0,913414590.0,136618035.0,342781455.0,42283270230.0,6583726425.0,17461661265.0,19362660.0,3593205.0,9945255.0,579371220.0,101704965.0,355309095.0,24229821540.0,3971501325.0,15672320655.0,727665450.0,155953665.0,509194965.0,21369696660.0,4194791565.0,18309155295.0,31935614010.0,7465260915.0,26927782995.0,243989528.73229456,38101119.9182243,69718762.94431278,-444348691.3867082,189670550.88342828,285181143.6081128,-10984216.019830044,-6250696.436915902,1062411.2736966861,339640692.8324427,-150763441.8700875,-243198381.37119138,207040273.25779036,37654946.179906525,49627559.48459716,-225679966.86421254,-79159489.32204679,73612123.2394672,1236231217.0038695,-148605409.1988933,-1188522366.2352445,0.000470501966082807,0.003198672984155994,0.0015051660656455411,-1.0097450282180071e-06,4.819922241709481e-05,1.3271323591544184e-05,-2.118162717908578e-05,-0.0005247597411266552,2.293651420930661e-05,7.71804908208034e-07,-3.83121187407169e-05,-1.1317594057172559e-05,0.000399250148693854,0.0031612157155491913,0.0010714148573847371,-5.1283874337153e-07,-2.0116068701682315e-05,3.4256483279766446e-06,2.8092314646004e-06,-3.77637178623635e-05,-5.5309634846583176e-05,3.060604506604843,2.1965504845916533,2.588956213042375,8.1629505474231,5.957466150880257,6.7206880145343,12.281121513141482,7.751091423466758,9.332470973383895,10.819814382047037,8.182025222470495,8.32624422639746,22.403561795399817,-16.15112759761973,17.34923352010313,-15.542761582156142,11.366809726313269,-11.719730617273186,22.793998575188386,-17.115468480046818,17.27015940657062,1
823650.0,94095.0,126735.0,25749645.0,2913120.0,4238355.0,1103815185.0,118698420.0,170300475.0,53196197955.0,5538352140.0,7594107825.0,26210940.0,2914905.0,3775275.0,819030420.0,95547480.0,121807380.0,35563293480.0,3888951450.0,4421398590.0,1075758810.0,125952915.0,191102355.0,33330138120.0,4195067730.0,6348437670.0,49546746330.0,6178250415.0,10603661175.0,298807939.65789485,28510119.512195118,28558627.002012085,4616703.1287584845,98216745.16359356,-11345039.740211345,-398220.947368341,5303917.07317073,-4447842.887323924,461580994.0274382,-116537808.28673391,-354141327.7355683,241650419.6842106,35654055.772357725,78641698.30985917,-275801262.5120107,-32965476.197369374,222458566.2548524,-67068914.35952774,67435253.93592903,225691249.99008283,0.00044046025658861835,0.0032200746850550026,0.0017780508862011782,7.498513743213466e-09,3.616339302466995e-05,-1.9841047580394483e-06,-5.870008034513344e-07,0.0005990507718370874,-0.0002769212604980177,7.497063013994686e-07,-4.290920612658389e-05,-6.193486399946792e-05,0.00035620675267435955,0.0040269463747073814,0.004896206717583419,-4.479602650773186e-07,-1.2137884125412539e-05,3.8905205259745e-05,-1.0893426803524386e-07,2.4829651886157006e-05,3.947056098587558e-05,3.098723167008777,2.1398404766249666,2.1755970350586424,8.148739742738073,5.680583852155507,4.998714770847686,11.13155301949187,7.539895389440758,7.188166918893928,12.218535195096907,9.04378575992571,8.728666705711769,24.057131957474724,17.495297903454645,16.725785561030403,-16.75485459106915,-11.905583341579574,-11.754910424444898,-24.031795292441185,-17.477355299735663,17.08065741750232,1
757605.0,101235.0,185640.0,23412570.0,2919240.0,6569310.0,964940400.0,122096040.0,305777640.0,44500411590.0,5833443240.0,15994803090.0,20912295.0,3471825.0,8517000.0,635919510.0,97416630.0,303049140.0,25792080060.0,3973285560.0,14108277900.0,786526845.0,153755565.0,452531670.0,23682248310.0,4090899210.0,16100496000.0,33881383605.0,7517032545.0,24930241770.0,241412395.29451367,37916041.209068,73307084.75274722,-240454518.63041267,125934057.52438007,-14149927.143610897,-10341497.448670482,-2697860.1763224313,1654972.4175823915,-204153117.41351134,-58370303.987208955,-37661625.883949526,209281338.21608886,34690332.31738034,61779197.47252744,-53188922.68056602,-157793423.54846427,-65263670.377067804,617100009.196746,-135359813.88480362,-1500263956.8747733,0.00042060448626813685,0.003699658280254465,0.002127173086218686,-4.813110830165048e-07,3.862037427933818e-05,-9.529613881605811e-07,-1.801763416636025e-05,-0.0002632437464993829,4.802281794439529e-05,-4.086475837641619e-07,-1.790050309741144e-05,-2.5364141396981272e-06,0.0003646236542183329,0.0033849096875672997,0.0017926650145070047,-1.0646677852294029e-07,-4.839073080036396e-05,-4.395341211849802e-06,1.235231824495288e-06,-4.1510984219663e-05,-0.0001010389388185803,3.1050041448348935,2.1496866288197545,2.4067318700748155,8.353361629850388,6.424516846445934,6.916782652619834,11.2158396784009,7.469437689620109,8.051647879753661,11.987700992267897,8.44066986258943,7.96833071092324,-24.05515156735225,16.782654381795375,15.978451217867665,16.792977050083753,-11.771560643777667,-11.459348255876977,23.616521049133837,16.43574579224663,-17.587776641029095,1
