m00_R,m00_G,m00_B,m01_R,m01_G,m01_B,m02_R,m02_G,m02_B,m03_R,m03_G,m03_B,m10_R,m10_G,m10_B,m11_R,m11_G,m11_B,m12_R,m12_G,m12_B,m20_R,m20_G,m20_B,m21_R,m21_G,m21_B,m30_R,m30_G,m30_B,mu02_R,mu02_G,mu02_B,mu03_R,mu03_G,mu03_B,mu11_R,mu11_G,mu11_B,mu12_R,mu12_G,mu12_B,mu20_R,mu20_G,mu20_B,mu21_R,mu21_G,mu21_B,mu30_R,mu30_G,mu30_B,nu02_R,nu02_G,nu02_B,nu03_R,nu03_G,nu03_B,nu11_R,nu11_G,nu11_B,nu12_R,nu12_G,nu12_B,nu20_R,nu20_G,nu20_B,nu21_R,nu21_G,nu21_B,nu30_R,nu30_G,nu30_B,Hu_R1,Hu_G1,Hu_B1,Hu_R2,Hu_G2,Hu_B2,Hu_R3,Hu_G3,Hu_B3,Hu_R4,Hu_G4,Hu_B4,Hu_R5,Hu_G5,Hu_B5,Hu_R6,Hu_G6,Hu_B6,Hu_R7,Hu_G7,Hu_B7,Waldo
562776.0,461394.0,382607.0,18138800.0,15424857.0,13639027.0,775775802.0,677082273.0,618883295.0,37013466512.0,33132798711.0,31123909933.0,16518382.0,14264668.0,13191399.0,531188281.0,474739891.0,460740728.0,22732511503.0,20968637083.0,20751952318.0,691638554.0,584725876.0,556144553.0,22051220983.0,19173442213.0,19087809706.0,33147473404.0,26451953110.0,25692675981.0,191145211.0721708,161414073.0007608,132684512.68099122,-312097525.0402822,-295193906.8245746,-397576271.4597413,-1214713.1248383028,-2142045.159715976,-9501183.74958377,40544953.369722016,178873123.17815036,91685581.1273434,206797438.00016347,143712873.7714838,101335813.02085431,-169632806.89547336,-242072283.09448838,-82259745.53585681,707092158.3255872,-511885508.40729886,-469540040.6478409,0.0006035208592484162,0.0007582239721777104,0.0009063885505161003,-1.3135645030164535e-06,-2.041397282441638e-06,-4.39074462113676e-06,-3.835328673580749e-06,-1.0062009832167672e-05,-6.490406448322516e-05,1.7064669614425865e-07,1.2369872789234893e-06,1.0125553285476828e-06,0.000652941116192058,0.0006750746324552182,0.0006922407055914172,-7.139551448098758e-07,-1.674037605245017e-06,-9.084584799830422e-07,2.9760285968877853e-06,-3.5399161758609994e-06,-5.18549661002997e-06,2.900850650013114,2.8436633219300793,2.7962522433805335,8.601851444467423,8.135560781416292,7.2026670094004395,11.170193726551936,10.211408171594318,10.152465234800047,10.85348743276759,10.71878617862101,10.342036402747672,22.617380187834357,-21.236834851614052,-20.600931853671803,15.415605335147974,15.440724534344307,-14.461374879590993,21.872239040605205,-21.51625939115755,-21.23039779037399,1
688026.0,588902.0,265397.0,19546113.0,16848042.0,10006205.0,805598451.0,699274538.0,458527775.0,38365334913.0,33334923366.0,22631248145.0,20751498.0,18637624.0,9313745.0,556523509.0,518195280.0,370866240.0,22258445949.0,21120862992.0,17125506284.0,854582618.0,794620702.0,417494859.0,22505265365.0,22187461544.0,16682999288.0,39783473448.0,37492452322.0,20515714829.0,250313427.74685404,217264765.17911637,81266018.0772578,1256813659.1728866,897644220.2841133,-784433975.2702769,-33005265.82431474,-15013083.925080948,19712150.889252733,-163853984.3388661,-150815105.5088143,-452305135.66549593,228698321.1216786,204775484.34854692,90641707.21220665,218388119.40410239,404233545.43100405,-441259988.3601013,212970305.70377246,-617282115.8253974,-497590333.5122439,0.0005287793016941206,0.0006264742747156491,0.0011537639410869732,3.200801681116518e-06,3.3728471920687323e-06,-2.1618042786696402e-05,-6.972259367747528e-05,-4.3289628005058145e-05,0.00027986075158332346,-4.172966331975051e-07,-5.666791961028311e-07,-1.2464977402451515e-05,0.000483118063740625,0.000590461932154716,0.0012868740934320912,5.561819404354272e-07,1.5188845957426375e-06,-1.2160586625711998e-05,5.42384073843649e-07,-2.31940250271646e-06,-1.3712982174704914e-05,2.9948635348141734,2.914732187365937,2.612496625034836,7.66695780725003,8.05587002003106,6.4801635122886525,11.254361061550151,11.748359114928052,9.106923864210488,10.849840233125379,10.491355730516682,8.738432310506354,22.145789863184007,-21.969407070584026,17.666239537480283,15.29011500144071,14.521950607059766,12.03188421678821,21.987389857855852,21.657544432188,-18.47702481709115,1
651908.0,551485.0,277243.0,19102730.0,16195169.0,9899127.0,806092576.0,681050005.0,430645187.0,38697254072.0,32447636915.0,20364650985.0,19510944.0,17396346.0,9976006.0,546741295.0,495555251.0,368644883.0,22799550269.0,20469717895.0,15956648019.0,798631728.0,740670858.0,448473672.0,22006706101.0,21017238151.0,16526819975.0,37124199618.0,35037712278.0,22074526816.0,246329091.80759865,205455022.47361943,77190941.58305894,640219799.9493197,380622308.720636,-524090177.129654,-24984002.55290624,-15314062.675755452,12445626.943897618,138221064.60798818,-114257850.5974803,-427969997.7133188,214689000.23605785,191910956.73030818,89508086.89222093,100051603.73011205,232498307.23499018,-381859895.7866822,371116293.8581637,-433905856.3605123,-504374965.05368185,0.000579619628865722,0.0006755373306847465,0.001004257674490639,1.8657924221653603e-06,1.685233090354774e-06,-1.2949546094263135e-05,-5.878809596150614e-05,-5.0352728774236123e-05,0.0001619181748004448,4.0281761818304895e-07,-5.058849842693057e-07,-1.0574548911988629e-05,0.0005051695588419254,0.000631004362307057,0.001164504297356774,2.9158036674265924e-07,1.0294032478570623e-06,-9.435231831900645e-06,1.0815441335576749e-06,-1.9211498918581803e-06,-1.246241037091449e-05,2.9646546521480177,2.8838767269643135,2.663788110496558,7.712938234211882,7.916326331481407,6.884226578707033,12.000743911718146,11.671385644269577,9.2169497394557,11.163828663778968,10.877464705376115,8.986412989102776,-23.706358833919502,22.63161384762552,18.093359813505607,-15.243697275411026,14.856094879732195,12.470137267111458,22.74873849006486,22.177142984892924,18.898380757286123,1
563067.0,503787.0,392931.0,17974219.0,16710993.0,14066108.0,758159727.0,723354485.0,641071258.0,35864365315.0,35089647495.0,32320204088.0,15518527.0,15654647.0,14503269.0,506152346.0,534489027.0,512808904.0,21688494124.0,23675056741.0,23288308816.0,615897215.0,669636571.0,645301401.0,19990358238.0,22710500829.0,22572492268.0,28138554541.0,31722621209.0,31173875619.0,184386892.3995688,169038301.68036485,137534010.32123703,-109594692.45343481,-118818558.26961075,-475666017.50741506,10770086.24154679,15212633.535160663,-6377793.1734274225,105467643.54381286,188353940.8541745,82688878.18848404,188195573.36635965,183185009.73579705,109978884.61325268,-263968817.50783432,-447279872.74817693,-57133541.559809096,790381529.0227933,-470185400.7504899,-763249475.5122665,0.000581580577870069,0.0006660260374061666,0.0008907944850939085,-4.6066936740114516e-07,-6.595791019940815e-07,-4.914862721580221e-06,3.397027249906572e-05,5.993913764641268e-05,-4.130834964158286e-05,4.43321766273135e-07,1.0455801263279353e-06,8.543904124736695e-07,0.0005935936599756501,0.0007217653332630171,0.0007123226005076156,-1.1095642083819838e-06,-2.482915641324723e-06,-5.903375545632343e-07,3.322282775100471e-06,-2.6100675594298425e-06,-7.88634515897999e-06,2.9298977377114017,2.857675817294222,2.7950347572630263,8.322371899083906,7.757516465181042,7.4125389935674235,10.913822243326305,10.10172139959867,9.924175083833951,10.778705475835212,10.90928728231166,10.09823871738696,21.63571622946948,-21.525226254883712,-20.293246000433417,-15.178666367046503,15.116494457985835,-14.008210304839954,22.28305629541218,-21.614498319655816,-20.231105756902394,1
673054.0,543029.0,262571.0,19869665.0,15594103.0,9062231.0,835994465.0,651516061.0,397979875.0,40047520979.0,31077800671.0,19040789573.0,21307090.0,17811368.0,8660742.0,615048163.0,507319910.0,319854839.0,25927020013.0,21282314084.0,14224538899.0,897695322.0,786208998.0,387972806.0,25270609727.0,22032408274.0,14759100999.0,42634697242.0,38744693150.0,19264896012.0,249409158.00795335,203701950.93477514,85211021.25240031,641644486.9140373,668914645.1267196,-576721413.6338867,-13972302.556775492,-4167150.8437191863,20942755.657201268,286641435.51096565,151902335.3927266,-348194562.24088365,223169824.39044717,201995576.55948028,102303588.94798738,-346186405.3136589,-271702150.9695835,-12746603.066897124,86143804.12446141,-293908628.60743773,-280988167.4683823,0.0005505700424780122,0.0006907949304839967,0.0012359538480510963,1.7265123649181046e-06,3.0783156205122175e-06,-1.6324849328135093e-05,-3.084382014534611e-05,-1.4131659830420863e-05,0.00030376680226189214,7.712837759858432e-07,6.990478310474621e-07,-9.8560997235085e-06,0.0004926467844077355,0.0006850082663771864,0.0014838751205101988,-9.315050959374289e-07,-1.250361285329599e-06,-3.6080916989279207e-07,2.3179244272364696e-07,-1.3525545135496389e-06,-7.953735353794406e-06,2.9816254164696216,2.861443685744421,2.565458404916327,8.14505854385232,9.07971972980869,6.365964263945414,10.605992292750997,10.232539020837638,9.155199372431262,11.785633487122722,11.423832859213046,9.22504427185658,-23.172703709749488,23.38898351793636,19.549486204621903,-15.920614205109397,16.07370924115494,12.430984160414667,23.09766905266885,-22.253177531490387,18.416339063003058,1
606184.0,474136.0,306589.0,18725401.0,15070207.0,11377406.0,786683653.0,643124165.0,521581388.0,37181723035.0,30792427915.0,26286894698.0,18731449.0,14415739.0,9862663.0,601306984.0,481364787.0,368461720.0,25658724990.0,20956387257.0,16903087122.0,771201827.0,619404753.0,441916449.0,25160536088.0,21187195093.0,16770214698.0,35778666307.0,30007799887.0,21804675511.0,208244362.9316363,164124175.4973067,99369999.82613862,14979494.525978815,-82225960.99683301,-443969350.623219,22680867.44784915,23166778.8589329,2461892.243042041,-51523715.47695525,-69998448.97385487,-58386877.624653146,192388823.62214607,181105339.08474997,124644396.0184221,-64073083.898168884,90947772.61922394,212463162.8106455,58207557.09276044,162540606.72603992,-430709177.2313601,0.0005667144884496902,0.0007300736841225466,0.0010571634784609938,5.235835407928801e-08,-5.311921264912232e-07,-8.530246228978043e-06,6.172352524866523e-05,0.00010305279852614415,2.6191230470002075e-05,-1.8009265491197458e-07,-4.5220055212174974e-07,-1.1218216797631625e-06,0.0005235653547954862,0.0008056110059303007,0.0013260491445713344,-2.2395690374425645e-07,5.875363468127363e-07,4.082180652376485e-06,2.034549215974949e-07,1.0500368676907796e-06,-8.275470659644894e-06,2.9624620169413336,2.8136979453899933,2.6228372094830235,7.766977934009339,7.3170844943164575,7.1246873606630245,11.967523739615803,10.956502825562467,9.341241798733453,13.522996632394195,12.442994834974453,9.966196842191968,-26.30264970201498,24.194707084891267,-19.671228134082845,18.589661436056584,16.39101387422422,13.641984743567715,-26.685369198766406,24.47873579860525,-19.958334980791363,1
564953.0,506520.0,392303.0,18138361.0,16951348.0,14177821.0,766242449.0,736160002.0,648360043.0,36247605499.0,35735761054.0,32708174581.0,16206100.0,16355666.0,14926328.0,532778342.0,562762766.0,534019819.0,22847490300.0,25000470140.0,24371849813.0,651599302.0,714209448.0,681352902.0,21470701800.0,24569651670.0,24226049575.0,30180555730.0,34642960940.0,33710177498.0,183892873.43119872,168861180.59688854,135973932.4985738,-161463575.29621616,-203103451.96246442,-551731115.5356538,12465869.63132507,15399214.436847499,-5417316.508237224,66794136.17270195,198957858.22912467,94637616.29531562,186715183.83441806,186080627.2159125,113436603.72141434,-164707918.4871238,-326782259.3982785,14207717.49950939,776811826.3122146,-436239014.9086246,-845971212.8371768,0.0005761562277883231,0.0006581677905069663,0.0008835118919673436,-6.730444803493306e-07,-1.1123099169905e-06,-5.723654417380067e-06,3.905691552300656e-05,6.0021296224608116e-05,-3.519986125008774e-05,2.784245585313267e-07,1.0896062899627346e-06,9.817699152840316e-07,0.0005849988310128303,0.0007252837794804822,0.0007370720735263563,-6.865681947412198e-07,-1.7896453473003628e-06,1.4739075382399739e-07,3.2380610364309908e-06,-2.389092739549822e-06,-8.776098960144616e-06,2.935109781393903,2.859036039454255,2.7903284624374556,8.209014179001718,7.723198706180577,7.578383877635722,11.11372290181945,10.299895107041209,9.755948521775705,10.84727704143879,10.995248441103573,10.036938420933181,21.906299588425238,-21.668001848713306,-20.087808898173055,-15.184465539371844,15.343419667308392,-13.98036275414597,22.086736371991645,-22.12312457842188,-20.080054113308368,1
601527.0,515562.0,330513.0,18304707.0,16040537.0,11999430.0,774591239.0,684776109.0,537552520.0,36753853737.0,32781858305.0,26698103904.0,17418479.0,16211343.0,12261157.0,519727363.0,504184380.0,445424894.0,22237105761.0,21843039016.0,19865711498.0,703841257.0,694106805.0,551766365.0,20673888815.0,21569457272.0,19888549968.0,32500465235.0,32937719847.0,27031095553.0,217571689.82623222,185711346.18123335,101907567.07863232,-58854158.389726,-79361010.25266711,-217597657.88805398,-10323913.967871824,-194622.35314275866,277819.17840449524,435509507.5395866,323034269.54630405,-96236101.74186948,199452575.07310224,184356974.98217675,96909911.61193661,-146380643.56517667,-13855129.04925308,-164200278.73766747,568124483.5431001,-481639621.397763,-628177488.7395408,0.0006013012868791846,0.0006986773085545015,0.0009328876443791547,-2.0971975385582118e-07,-4.1581958273279165e-07,-3.464837340165447e-06,-2.853212547767258e-05,-7.322020149788097e-07,2.5432270275390034e-06,1.5518860386765139e-06,1.6925688665439087e-06,-1.5323806424365758e-06,0.0005512256220402975,0.0006935819363890488,0.0008871378421868705,-5.216099147057817e-07,-7.259527016638219e-08,-2.6145835509338845e-06,2.024443643542503e-06,-2.523596735469567e-06,-1.0002556279148313e-05,2.9383489260174307,2.856279889606536,2.739922530367954,8.239283491235842,10.551180922406687,8.673886174487167,11.0575150961243,10.237929200287306,10.31521398897929,10.875333529319857,12.03191118321144,9.769514987296576,-22.169018289185967,-24.47431612465051,19.95761774940267,-15.501425527203908,-17.456904840200686,-14.433802598144416,-21.896143526675353,-23.167358984110738,-19.96727864167182,1
654245.0,521481.0,258397.0,19345022.0,15008785.0,8850352.0,810044562.0,622585299.0,379954486.0,38455284734.0,29324635603.0,17804283400.0,20643897.0,17122000.0,8632117.0,598677955.0,489218087.0,309539947.0,25193883373.0,20425467825.0,13318764491.0,866636793.0,755819440.0,389039607.0,24541323031.0,21237957663.0,14229335245.0,41037202545.0,37227515080.0,19344491455.0,238041908.28390896,190616296.9151206,76821204.56134553,426439609.8970041,433675179.4330212,-471936323.6922209,-11730441.90136568,-3571519.4669662463,13881429.46618963,327625029.3598761,189453178.49901423,-325057426.0685514,215243991.60815293,193645776.91352123,100671538.09173481,-343519432.9728089,-280809772.733244,-23112385.779214986,108024215.23444642,-304717995.2350037,-378076516.04317147,0.0005561252303191462,0.0007009435583820049,0.0011505518055638581,1.2317044392933054e-06,2.208352222695462e-06,-1.3904799699993376e-05,-2.740523612490016e-05,-1.3133365848150298e-05,0.0002079022820239423,9.462939035696597e-07,9.64729750920953e-07,-9.577263231440294e-06,0.0005028636145242498,0.0007120837102184012,0.0015077584448424256,-9.922024144950337e-07,-1.4299340040184206e-06,-6.809670684694893e-07,3.120111320981159e-07,-1.5516789846084683e-06,-1.113938038446072e-05,2.9751086146313948,2.8498494570556057,2.575394334086883,8.23351371682634,9.089352025968111,6.522169949374683,10.618073751753432,10.207666083617141,9.34659691983912,11.784972732342565,12.02207331759707,9.192516444334977,-23.035416609796563,-23.221309836063906,-18.959539401181043,-15.941909172649535,16.67592758086703,12.48333548137472,-23.334128381663007,-23.383053693847895,18.485235230385303,1
595028.0,464472.0,322469.0,18783081.0,14953372.0,11695065.0,796545449.0,642619226.0,529642927.0,37789048341.0,30876865522.0,26523891075.0,17801630.0,15983960.0,12425518.0,565474994.0,525314462.0,457208197.0,24341867088.0,23126012156.0,20801424713.0,720771648.0,703694618.0,578580672.0,22911297438.0,23185512026.0,21328095659.0,33266723690.0,34434898508.0,29090410120.0,203625230.3673289,161205202.82877764,105495038.81780258,-210837513.13588327,-191631767.82242095,-336833926.0348452,3535962.186320606,10721332.784202255,6568784.626500525,288142070.6914608,321106459.78816056,-83474143.53204979,188194978.23504773,153635675.19698924,99795121.8592919,-52670691.15901373,-207385944.36344653,-161658922.10110432,442613004.4810234,-355658511.9508663,-894415461.1806604,0.0005751177656732839,0.0007472397693450108,0.001014509444953653,-7.719770303797341e-07,-1.3033728201777555e-06,-5.704215182907804e-06,9.98694841711625e-06,4.9696945856317206e-05,6.316973878705802e-05,1.0550260091357695e-06,2.1839877428841567e-06,-1.4136179289329838e-06,0.0005315366627122983,0.0007121524893914228,0.0009596953072021366,-1.928526055170177e-07,-1.4105239764875098e-06,-2.7376615198975978e-06,1.6206180187038036e-06,-2.418991605667317e-06,-1.5146746984644348e-05,2.9559879737692394,2.8358279617677193,2.7046078070260564,8.638599123829614,7.954275663360473,7.722018453807827,11.615688222994166,10.050354465925684,9.902283191528285,11.092053239725542,11.129569017217946,9.461538161278835,-22.65999175221852,-21.98430675191213,19.571334178067005,-15.426481412089226,15.416494656960928,13.61621221259446,-22.547336498595083,21.795567305467515,-19.176045457447668,1
